Time,Mode,MainV,MPPTV,TargetV,Error,Current,Power,PWM
2025-12-29T23:29:46.842Z,a,0,4.91,0,0,127,0.62,241
2025-12-29T23:29:46.842Z,a,0,4.91,0,0,127,0.62,241
2025-12-29T23:29:47.486Z,a,0.81,4.77,0,0,136,0.65,219
2025-12-29T23:29:47.489Z,a,0.81,4.77,0,0,136,0.65,219
2025-12-29T23:29:48.131Z,a,0.9,4.33,0,0,131,0.57,151
2025-12-29T23:29:48.131Z,a,0.9,4.33,0,0,131,0.57,151
2025-12-29T23:29:48.769Z,a,1.12,4.93,0,0,94,0.46,242
2025-12-29T23:29:48.772Z,a,1.12,4.93,0,0,94,0.46,242
2025-12-29T23:29:49.417Z,a,0.68,4.01,0,0,290,1.16,101
2025-12-29T23:29:49.418Z,a,0.68,4.01,0,0,290,1.16,101
2025-12-29T23:29:50.062Z,a,0.15,4.08,0,0,281,1.15,112
2025-12-29T23:29:50.064Z,a,0.15,4.08,0,0,281,1.15,112
2025-12-29T23:29:50.706Z,a,0.17,4.17,0,0,299,1.25,126
2025-12-29T23:29:50.706Z,a,0.17,4.17,0,0,299,1.25,126
2025-12-29T23:29:51.352Z,a,0.17,4.17,0,0,289,1.21,126
2025-12-29T23:29:51.355Z,a,0.17,4.17,0,0,289,1.21,126
2025-12-29T23:29:51.995Z,a,0.27,4.37,0,0,143,0.62,157
2025-12-29T23:29:51.996Z,a,0.27,4.37,0,0,143,0.62,157
2025-12-29T23:29:52.641Z,a,0.22,4.18,0,0,262,1.1,126
2025-12-29T23:29:52.639Z,a,0.22,4.18,0,0,262,1.1,126
2025-12-29T23:29:53.283Z,a,0.22,4.54,0,0,111,0.5,183
2025-12-29T23:29:53.283Z,a,0.22,4.54,0,0,111,0.5,183
2025-12-29T23:29:53.927Z,a,1.17,4.13,0,0,287,1.19,120
2025-12-29T23:29:53.927Z,a,1.17,4.13,0,0,287,1.19,120
2025-12-29T23:29:54.571Z,a,1.25,4.03,0,0,259,1.04,104
2025-12-29T23:29:54.571Z,a,1.25,4.03,0,0,259,1.04,104
2025-12-29T23:29:55.215Z,a,1.1,4.01,0,0,260,1.04,101
2025-12-29T23:29:55.218Z,a,1.1,4.01,0,0,260,1.04,101
2025-12-29T23:29:55.860Z,a,0.17,4,0,0,281,1.12,100
2025-12-29T23:29:55.860Z,a,0.17,4,0,0,281,1.12,100
2025-12-29T23:29:56.500Z,a,0.2,4.33,0,0,89,0.39,151
2025-12-29T23:29:56.499Z,a,0.2,4.33,0,0,89,0.39,151
2025-12-29T23:29:57.147Z,a,0.12,4.61,0,0,140,0.65,194
2025-12-29T23:29:57.148Z,a,0.12,4.61,0,0,140,0.65,194
2025-12-29T23:29:57.791Z,a,0.71,4.84,0,0,136,0.66,230
2025-12-29T23:29:57.792Z,a,0.71,4.84,0,0,136,0.66,230
2025-12-29T23:29:58.435Z,a,0.66,4.18,0,0,296,1.24,126
2025-12-29T23:29:58.436Z,a,0.66,4.18,0,0,296,1.24,126
2025-12-29T23:29:59.079Z,a,0.22,4.64,0,0,127,0.59,199
2025-12-29T23:29:59.081Z,a,0.22,4.64,0,0,127,0.59,199
2025-12-29T23:29:59.724Z,a,1.1,4.62,0,0,139,0.64,196
2025-12-29T23:29:59.724Z,a,1.1,4.62,0,0,139,0.64,196
